kind,blue,red,game,seed,durationSeconds,duration,winner,kills,firstBloodSeconds,loserAlive,blueLineup_TOP_JG_MID_ADC_SUP,redLineup_TOP_JG_MID_ADC_SUP,blueBans,redBans,exclusionCount,bluePreferredPlan,redPreferredPlan,inputHash,outputHash,draftIdentity
fresh,GEN,T1,1,91008011,1930,32:10,RED,16,30,5,jayce / xin-zhao / ryze / varus / neeko,gnar / poppy / orianna / ezreal / bard,vi|jarvan-iv|nautilus|rell|alistar,camille|nocturne|wukong|anivia|ambessa,0,PICK_CONTROL,PICK_CONTROL,282bdb907ab8eb25fa21fb67e08db34fac7f9f65266e773658fa8fa7e82996a2,74a6bd53c4446b63d94b9b4e4f07d0fe4fe2e7d49082ede07c05474add81f1f2,173f514e73f00141d36d675ac46316c2404636e5dbfff4cbbe10692c07ed14af
fresh,GEN,T1,1,91008023,1460,24:20,BLUE,14,40,5,jayce / xin-zhao / cassiopeia / varus / neeko,gnar / poppy / orianna / ziggs / karma,vi|nautilus|jarvan-iv|wukong|rakan,camille|ambessa|nocturne|anivia|azir,0,PICK_CONTROL,POKE_SIEGE,c1a4ad5e25ccb51ca989989eb4cef552f954e5fa33d9ff0a7f33bcc129db0f4f,289fa0eb4f34f271c5f135a0f536ac07e0c6627cd2e30117549053c2a706e2bf,09ed180ec8f07b3edeefd931fa5e1ac7aebb64ab673254c4f0861b4ebe4ce392
fresh,GEN,T1,1,91008037,2230,37:10,RED,27,140,5,varus / naafiri / cassiopeia / ezreal / neeko,rumble / xin-zhao / orianna / ziggs / poppy,nautilus|vi|nocturne|shen|rakan,jarvan-iv|camille|azir|wukong|lee-sin,0,PICK_CONTROL,PICK_CONTROL,7c58c1b6ec50457563b7979dfc00af9f72a4361dc5b1a3d37fc782cd2000bc92,2b5529df750ab5d385f80ca62d778ca94edf99ad1d5ad22daeb99eb17b0d13b2,7343638ae281ec0927525ac2d8c17aa02e52c017f21e86a14880f1b1645bba82
fresh,GEN,T1,1,91008051,2410,40:10,RED,28,110,1,rumble / lee-sin / cassiopeia / varus / seraphine,poppy / nocturne / azir / ezreal / bard,vi|nautilus|jarvan-iv|gnar|ksante,camille|ambessa|wukong|orianna|leblanc,0,POKE_SIEGE,PICK_CONTROL,24dad081b440736904ec283c8f1b8fef989c386f7052d84c9c1c417086c2cf3c,67c25cab24655244e02efcd8f9153a74b153cd91069ea9bbab516bebfdf747fe,2a8db296769f514084ba8496aaeb609630da4bf599153befdf2bba802c9a7f9f
fresh,GEN,T1,1,91008067,1580,26:20,BLUE,20,40,3,jayce / xin-zhao / syndra / varus / neeko,gnar / poppy / orianna / ziggs / rell,vi|nautilus|nocturne|rakan|alistar,camille|ambessa|jarvan-iv|azir|anivia,0,PICK_CONTROL,PICK_CONTROL,8bd51f3ef12f57fe869b6df311d5cf763c32a02cce15420371742c3e3efc4781,18bcc0e91d11db3aa34a26b2f7a8621d9abe3c7ce2a71d97ca85251a2822adb5,b3782149d8b03870027877ef88166b70b62ab0c81efc6a8acfe88555e4792a2b
fresh,GEN,T1,1,91008081,1680,28:00,BLUE,12,240,5,jayce / xin-zhao / ryze / varus / neeko,gnar / poppy / orianna / ezreal / bard,nautilus|camille|nocturne|rakan|alistar,vi|jarvan-iv|ambessa|azir|anivia,0,PICK_CONTROL,PICK_CONTROL,df6ad0ae4c1839665a3d04959d62cf4879725a7c1937ed39c72f4039edbbc3b9,38e31a822cba6310d9e69e29514c2d5ec894fb7a188f053b2b143189aafc46ef,f2c4bd35845cd467046c80fe26c7a866d1f472860470ad7c60201a84f23fab1d
fresh,GEN,T1,1,91008097,3040,50:40,BLUE,33,60,5,rumble / nocturne / cassiopeia / varus / seraphine,jayce / poppy / azir / ezreal / neeko,camille|nautilus|rakan|gnar|xin-zhao,jarvan-iv|vi|wukong|orianna|alistar,0,PICK_CONTROL,POKE_SIEGE,69933e53872d022386f7def25f09418a94ba488dc886af5936eb87246acdd4ae,5003be0a5645ccafc1de6d8a77aaa9d964913f3934065c3a1274202ac8acc517,66fbe5460bba2fa24949e46159211686b5a389deeb30e41e4d16ecba3de11dcf
fresh,GEN,T1,1,91008113,2660,44:20,RED,36,20,5,jayce / jarvan-iv / orianna / ezreal / neeko,rumble / naafiri / cassiopeia / varus / bard,vi|nocturne|rakan|xin-zhao|poppy,camille|nautilus|ambessa|ksante|gnar,0,POKE_SIEGE,PICK_CONTROL,672ae7418d53f0bbc0870c71fc1868e54024ec436fc848054f9e8479386757f9,3683e473f1e3bb0cafe600964e434da21bbda7af68c2f1122d9f5f5d2131d3c9,fb63621f5534b69df4fd76ffe0c937ac0fbe43bdbda5179dee43c1622bb9ac5c
fresh,T1,GEN,1,91008011,1740,29:00,BLUE,24,30,5,jayce / jarvan-iv / orianna / ezreal / seraphine,rumble / naafiri / cassiopeia / varus / neeko,camille|ambessa|nautilus|wukong|xin-zhao,vi|nocturne|poppy|shen|gnar,0,POKE_SIEGE,PICK_CONTROL,fb2585c137aaec55b249d71430d33ee02cbb52cde717188d1698ce12b577346d,49600ff4c0dbe0013bfb9cdb93cad3cac32a5efa364f599027cf6ad3ab6aba01,c2526fe1eff3ef00989f841de6c0a5f4ad205aae954f338b74bfbae0744040a0
fresh,T1,GEN,1,91008023,1740,29:00,RED,24,40,5,jayce / jarvan-iv / orianna / seraphine / bard,rumble / xin-zhao / anivia / varus / neeko,camille|ambessa|wukong|nocturne|lee-sin,vi|nautilus|poppy|shen|rakan,0,PICK_CONTROL,PICK_CONTROL,db0fcc224e465af5b13df95e036c217c3dea19be73d35cef24f25b39a288afe7,dfb9d1bd57ac5ba77cfaaa1bf39f737d965b78f7a23f3c7dd71ac5ce7bf5b0b5,f600a1089d91c8cb1b0d6b8729e0a49e1015c34152a9b987b73d633dd957d33b
fresh,T1,GEN,1,91008037,1470,24:30,RED,6,140,5,anivia / xin-zhao / syndra / varus / neeko,rumble / naafiri / orianna / ziggs / karma,vi|camille|jarvan-iv|rakan|lee-sin,nocturne|nautilus|poppy|gnar|ambessa,0,PICK_CONTROL,POKE_SIEGE,77caeaf1fdff2363e8a22eceae92b34c40424b5cf3a379a80cb07fc0bbb30d10,6a8480751d20355c2ab1868f554930727de0d4cd61a958094f3434e0ebd0c85b,c2f70c794257183513672ac60347cc562d54091775e37a105fefd7b658619f50
fresh,T1,GEN,1,91008051,1520,25:20,BLUE,10,110,5,varus / wukong / cassiopeia / ezreal / neeko,gnar / xin-zhao / syndra / ziggs / poppy,camille|nautilus|jarvan-iv|rakan|rell,vi|nocturne|orianna|ryze|azir,0,PICK_CONTROL,PICK_CONTROL,c9e211264978e9b1b11f574b04dd03c182eda21b3d5381c9693a9540e6c3fc42,e7a2c9852615aebc9b2eb9ff6e762df9fdc796423f166cda7a4f909041d7a07f,b33b493ba78b7290f02dc1bc6cd093dd1f8beacc24f86ced3263de030623f1ee
fresh,T1,GEN,1,91008067,1720,28:40,BLUE,14,40,5,jayce / nocturne / syndra / varus / neeko,gnar / lee-sin / orianna / ezreal / seraphine,camille|nautilus|ambessa|xin-zhao|pantheon,vi|jarvan-iv|poppy|anivia|azir,0,PICK_CONTROL,POKE_SIEGE,40d1ab6420333c60264b72d4fe338f751ffd546326a69561442b1f7f47d74074,c2993a4f7b63d6033bc00bf7c5678eee35031bcb777b0fece845098d2df98b4f,936daf8ad8df24fc9df01ec0895bacaf9cc29f920804dc571307301a383214da
fresh,T1,GEN,1,91008081,1980,33:00,RED,34,220,2,rumble / xin-zhao / orianna / ashe / rell,varus / pantheon / ziggs / ezreal / nautilus,jarvan-iv|vi|ambessa|wukong|gnar,camille|nocturne|poppy|rakan|neeko,0,PICK_CONTROL,PICK_CONTROL,bfe073cd532c7609b7cc06882ca04fd51b0b0b291b5074eb83760dce1aca1bc3,c2ce92abb16032391c181782c96344714f7a53992ec3aedf75eba5b3e5dbea5b,d75f7c257e73e95aebfb126c51fab1176615a128de481d3d81f4a3a476b68175
fresh,T1,GEN,1,91008097,2460,41:00,BLUE,34,60,5,jayce / nocturne / anivia / varus / neeko,gnar / lee-sin / orianna / ezreal / seraphine,jarvan-iv|ambessa|nautilus|rakan|pantheon,camille|vi|poppy|azir|rumble,0,PICK_CONTROL,POKE_SIEGE,a797eb103bd86f5fcc5dd9d4338013758cf2f78014a9a182962afc311627f6f3,1006b0f5acfe1a2ce05fdef94231a0c873c164c0622029057dd5c628564800e3,a89c84b7e3cca9f0c66b60eed76f4b0edfcfcd425e4e4bb0b10a4c343f1a0b67
fresh,T1,GEN,1,91008113,1650,27:30,RED,17,20,5,rumble / xin-zhao / orianna / ashe / neeko,varus / pantheon / ziggs / ezreal / nautilus,jarvan-iv|ambessa|vi|gnar|wukong,nocturne|camille|poppy|rell|rakan,0,PICK_CONTROL,PICK_CONTROL,6787c5026a2091093e749cae835cb1cfcb39fe8d87fc79a34bdf72182019f90e,5d20f558d2eca013f484d12140187649aaa20f47cb121431c4cebc4344b36d74,c64d37a5b247cc19692703c52e9a1e0c03390956c19aff353430656ae14b66c4
fresh,HLE,GEN,1,91008011,1600,26:40,RED,31,30,5,rumble / xin-zhao / cassiopeia / varus / seraphine,gnar / poppy / orianna / ezreal / neeko,camille|nautilus|ambessa|nocturne|wukong,vi|jarvan-iv|rell|rakan|ryze,0,PICK_CONTROL,POKE_SIEGE,1001a1d8b503545b031bd5c8e695d1909bfc76e6a3b9f7671946294077c75e07,2e459de93fd0ff82ef944ec07720de0cc34e3fb0159cd82f4df6aa55a474eff1,9b5463a5470e66a2c3c40f8a5e445b77887dbfd2d75a1f1f9f506d82a06fcaaa
fresh,HLE,GEN,1,91008023,2010,33:30,RED,22,40,0,rumble / naafiri / cassiopeia / varus / nautilus,gnar / xin-zhao / orianna / ziggs / poppy,vi|nocturne|jarvan-iv|shen|neeko,camille|ambessa|rell|pantheon|wukong,0,PICK_CONTROL,PICK_CONTROL,f7e966e89a783d8eb4813c8fd2ccaabf9deaa41b07a113d428b99bc4d8e82ffe,00cc2892b1a53bf4c47f69f116eb7e4400a7553c5a8578467fcbe452e51b3652,35defaba191446dd139c676c868e1d48f1613f705e9e8f5be530da98c44c32c4
fresh,HLE,GEN,1,91008037,2250,37:30,BLUE,33,140,0,rumble / xin-zhao / cassiopeia / varus / seraphine,gnar / poppy / orianna / ezreal / neeko,camille|vi|nautilus|wukong|pantheon,jarvan-iv|ambessa|rell|rakan|alistar,0,PICK_CONTROL,POKE_SIEGE,b6c3631d45bf3c8f927c4c704fb3046c85b43f2876e0c6e0c11e79911935f466,cbc1b7ba084468d52a2d8497ebbe330420869fc25850c608c0f1bb07a76628b8,ed9a99d016d37f84a46fee4d57f0c5eaead4ee88df2c9bb9c810313749a52d7d
fresh,HLE,GEN,1,91008051,1540,25:40,BLUE,23,110,3,rumble / xin-zhao / cassiopeia / varus / seraphine,gnar / poppy / orianna / ezreal / neeko,nautilus|camille|jarvan-iv|wukong|lee-sin,vi|ambessa|rell|rakan|azir,0,PICK_CONTROL,POKE_SIEGE,e9a5d9423890b1f64ca3635fccb3b0b1169d75a2de74ae17fbd7f63c0a86ab83,48b7cc6eda90bd48cd8fcf2cc6ea3db41482c54753587204a540fd38a03edde6,66b947abadb5c06b28aa806a1ca44c498446cc3d4460bf415d1f75a41b4919f0
fresh,HLE,GEN,1,91008067,1780,29:40,RED,23,40,3,rumble / naafiri / cassiopeia / varus / nautilus,gnar / xin-zhao / orianna / ziggs / poppy,camille|vi|ambessa|rakan|alistar,jarvan-iv|wukong|nocturne|pantheon|lee-sin,0,PICK_CONTROL,PICK_CONTROL,31da200b774982b68b8878cf1f03b615c0a2d2d9dafed008383f0b12b467084f,76e82f4331a68929c19cd98beffccda7c3dd8272df9386987aabb3b4ff55e2d3,bb18c8c40f98fcaf246f6fc226ae2c0269225d409edbac2a8e847a56d9437f6d
fresh,HLE,GEN,1,91008081,2750,45:50,BLUE,34,220,0,rumble / xin-zhao / cassiopeia / varus / seraphine,gnar / poppy / orianna / ezreal / neeko,camille|nautilus|ambessa|nocturne|wukong,vi|jarvan-iv|rell|rakan|alistar,0,PICK_CONTROL,POKE_SIEGE,bd3f25a3233e8e46d7ae2664015c296a4111e9497875d85a55d81edeec9318bd,65b67bce0e042c46bee1b730288ae3f569b78e55d85ac9a414c354443f8588eb,e6b6699a36b9ea3d8a0276366f55baca67e24063bdd8539a5be8c0d2390f9c2f
